epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,38.0021,1.00879,3.20447,1.16415,0.00637,1,0.995,0.20342,2.72876,4.18016,3.00132,0.000415958,0.000415958,0.000415958
47,38.8614,0.62279,1.9925,0.91909,0.00633,1,0.995,0.20549,2.71622,4.19568,2.81783,0.00041761,0.00041761,0.00041761
48,39.615,0,16.4566,0,0.00633,1,0.995,0.20549,2.71622,4.19568,2.81783,0.000418932,0.000418932,0.000418932
49,40.4095,0.48572,4.22307,0.89078,0.00704,1,0.11056,0.02473,2.64107,4.23236,2.80385,0.000419924,0.000419924,0.000419924
50,41.1713,1.65261,5.70563,2.139,0.00704,1,0.11056,0.02473,2.64107,4.23236,2.80385,0.000420586,0.000420586,0.000420586
51,42.0276,0.62809,4.76605,0.80097,0.00714,1,0.09045,0.02714,2.52779,4.22807,2.70954,0.000420918,0.000420918,0.000420918
52,42.822,0,15.5285,0,0.00714,1,0.09045,0.02714,2.52779,4.22807,2.70954,0.000420919,0.000420919,0.000420919
53,43.6102,1.11016,4.49107,1.41737,0.00714,1,0.09045,0.02714,2.52779,4.22807,2.70954,0.000420591,0.000420591,0.000420591
54,44.4059,0.5956,4.50253,1.0047,0.00813,1,0.0995,0.01921,2.46156,4.49111,2.47863,0.000419932,0.000419932,0.000419932
55,45.2195,1.57972,3.9098,1.80349,0.00813,1,0.0995,0.01921,2.46156,4.49111,2.47863,0.000418944,0.000418944,0.000418944
56,45.9904,0,15.064,0,0.00813,1,0.0995,0.01921,2.46156,4.49111,2.47863,0.000417625,0.000417625,0.000417625
57,46.7853,0.90621,3.53252,1.09141,0.00806,1,0.14214,0.04264,2.80902,4.26283,2.62973,0.000415977,0.000415977,0.000415977
58,47.5786,1.27505,3.43656,1.38556,0.00806,1,0.14214,0.04264,2.80902,4.26283,2.62973,0.000413998,0.000413998,0.000413998
59,48.3581,1.47572,3.28074,1.22904,0.00806,1,0.14214,0.04264,2.80902,4.26283,2.62973,0.000411689,0.000411689,0.000411689
60,49.285,0.84448,2.77216,1.16408,0.0082,1,0.01059,0.00529,2.71616,4.50435,2.63189,0.00040905,0.00040905,0.00040905
61,50.0265,1.00731,3.6187,1.03166,0.0082,1,0.01059,0.00529,2.71616,4.50435,2.63189,0.000406081,0.000406081,0.000406081
62,50.7913,1.14462,4.31904,1.30768,0.0082,1,0.01059,0.00529,2.71616,4.50435,2.63189,0.000402782,0.000402782,0.000402782
63,51.5971,0.93903,4.59798,0.9321,0.008,1,0.12437,0.02885,2.43912,4.8002,2.51104,0.000399153,0.000399153,0.000399153
64,52.3977,0.78697,2.60312,0.9907,0.008,1,0.12437,0.02885,2.43912,4.8002,2.51104,0.000395194,0.000395194,0.000395194
65,53.208,0.84294,2.72262,1.01484,0.008,1,0.12437,0.02885,2.43912,4.8002,2.51104,0.000390905,0.000390905,0.000390905
66,54.0153,0.68966,3.73871,0.93108,0.0082,1,0.08292,0.03415,2.42995,4.17041,2.67653,0.000386286,0.000386286,0.000386286
67,54.772,0.55339,3.99601,0.79949,0.0082,1,0.08292,0.03415,2.42995,4.17041,2.67653,0.000381336,0.000381336,0.000381336
68,55.5651,1.33808,5.84095,1.3994,0.0082,1,0.08292,0.03415,2.42995,4.17041,2.67653,0.000376057,0.000376057,0.000376057
69,56.3605,1.31276,3.3696,1.21878,0.008,1,0.995,0.10547,2.43259,4.03059,2.92621,0.000370447,0.000370447,0.000370447
70,57.1435,1.09006,2.65256,1.32392,0.008,1,0.995,0.10547,2.43259,4.03059,2.92621,0.000364508,0.000364508,0.000364508
71,57.8959,0.57801,3.42611,0.96996,0.008,1,0.995,0.10547,2.43259,4.03059,2.92621,0.000358238,0.000358238,0.000358238
72,58.7475,0.94151,4.66043,1.01301,0.00787,1,0.995,0.20007,2.83236,3.69414,3.50843,0.000351639,0.000351639,0.000351639
73,59.4924,1.17451,2.46287,1.05829,0.00787,1,0.995,0.20007,2.83236,3.69414,3.50843,0.000344709,0.000344709,0.000344709
74,60.2432,0.88719,4.2933,1.34213,0.00787,1,0.995,0.20007,2.83236,3.69414,3.50843,0.000337449,0.000337449,0.000337449
75,61.0317,0.66517,3.66535,0.94078,0.37461,1,0.995,0.19995,2.88955,3.44607,3.73632,0.000329859,0.000329859,0.000329859
76,61.8072,0.91382,2.81886,1.12663,0.37461,1,0.995,0.19995,2.88955,3.44607,3.73632,0.000321939,0.000321939,0.000321939
77,62.5567,1.28433,3.00109,1.11269,0.37461,1,0.995,0.19995,2.88955,3.44607,3.73632,0.000313689,0.000313689,0.000313689
78,63.3555,0.51791,2.84143,0.92435,0.57439,1,0.995,0.20059,2.92936,3.19435,3.78476,0.000305109,0.000305109,0.000305109
79,64.1203,1.03912,3.11539,1.34562,0.57439,1,0.995,0.20059,2.92936,3.19435,3.78476,0.000296199,0.000296199,0.000296199
80,64.8875,0.63063,1.77282,0.92796,0.57439,1,0.995,0.20059,2.92936,3.19435,3.78476,0.000286959,0.000286959,0.000286959
81,65.6772,0.59694,3.70649,1.01781,0.0068,1,0.995,0.20046,2.8809,3.344,3.41923,0.000277389,0.000277389,0.000277389
82,66.4217,0.99339,6.99213,1.11312,0.0068,1,0.995,0.20046,2.8809,3.344,3.41923,0.000267488,0.000267488,0.000267488
83,67.1725,0.82366,3.17109,1.12708,0.0068,1,0.995,0.20046,2.8809,3.344,3.41923,0.000257258,0.000257258,0.000257258
84,67.9752,0.41156,3.53645,0.96204,0.00676,1,0.995,0.19999,2.93844,3.29108,3.24438,0.000246698,0.000246698,0.000246698
85,68.7358,0.89957,3.69543,1.27487,0.00676,1,0.995,0.19999,2.93844,3.29108,3.24438,0.000235807,0.000235807,0.000235807
86,69.5023,0.72935,3.08151,0.96734,0.00676,1,0.995,0.19999,2.93844,3.29108,3.24438,0.000224587,0.000224587,0.000224587
87,70.2721,1.12712,3.01169,1.25474,0.00676,1,0.995,0.19999,2.93844,3.29108,3.24438,0.000213036,0.000213036,0.000213036
88,71.1086,0.5382,2.53223,0.86803,0.0069,1,0.995,0.22387,2.91119,3.35026,3.19758,0.000201155,0.000201155,0.000201155
89,71.8502,0.35105,2.7989,1.00445,0.0069,1,0.995,0.22387,2.91119,3.35026,3.19758,0.000188944,0.000188944,0.000188944
90,72.6064,1.74063,7.6759,1.63535,0.0069,1,0.995,0.22387,2.91119,3.35026,3.19758,0.000176404,0.000176404,0.000176404
91,73.3839,0.97789,5.02305,1.06246,0.0069,1,0.995,0.22387,2.91119,3.35026,3.19758,0.000163533,0.000163533,0.000163533
